device_id,first_seen,last_seen,unique_facilities,path_steps,path
1581961151262971440,2026-04-25 11:56:10+00:00,2026-04-25 11:56:10+00:00,2,2,66333 -> 66342
2434864815136552152,2026-04-26 18:21:36+00:00,2026-04-26 18:21:36+00:00,2,2,66330 -> 66331
-6418497639129305179,2026-04-24 15:42:37+00:00,2026-04-24 15:42:38+00:00,2,2,66331 -> 66330
-5633078117628400741,2026-04-22 06:12:07+00:00,2026-04-22 06:12:07+00:00,2,2,66330 -> 66331
340072803804047951,2026-04-24 17:29:42+00:00,2026-04-24 17:29:42+00:00,2,2,66330 -> 66331
1040095528358170179,2026-04-26 14:29:08+00:00,2026-04-26 14:29:20+00:00,2,2,66342 -> 66333
832834201791607209,2026-04-26 14:19:40+00:00,2026-04-26 14:19:40+00:00,2,2,66333 -> 66342
-4129087550038411180,2026-04-24 11:01:09+00:00,2026-04-24 14:01:31+00:00,2,2,66340 -> 66333
-2467164303325560531,2026-04-21 14:50:35+00:00,2026-04-21 14:50:55+00:00,2,2,66330 -> 66331
5493148224603941288,2026-04-25 17:40:02+00:00,2026-04-25 17:40:02+00:00,2,2,66333 -> 66342
-2143281083531144755,2026-04-21 16:39:20+00:00,2026-04-23 12:04:10+00:00,2,2,66332 -> 66342
8791348683972370295,2026-04-25 12:34:42+00:00,2026-04-25 12:34:43+00:00,2,2,66331 -> 66330
7489951452362442973,2026-04-26 08:47:16+00:00,2026-04-26 15:04:22+00:00,2,4,66330 -> 66331 -> 66330 -> 66331
-3703942567533775035,2026-04-25 15:37:11+00:00,2026-04-25 15:37:11+00:00,2,2,66333 -> 66342
1712771511483577863,2026-04-22 20:41:11+00:00,2026-04-22 20:41:11+00:00,2,2,66330 -> 66331
-1138978169936484277,2026-04-26 11:10:51+00:00,2026-04-26 11:10:51+00:00,2,2,66333 -> 66342
-4363136125320458202,2026-04-23 10:59:44+00:00,2026-04-23 10:59:44+00:00,2,2,66335 -> 66336
2251969392813833707,2026-04-26 13:35:23+00:00,2026-04-26 13:35:23+00:00,2,2,66333 -> 66342
-3652422524836937240,2026-04-24 15:51:32+00:00,2026-04-24 16:17:45+00:00,2,2,66340 -> 66336
-7802031837814732103,2026-04-25 10:38:03+00:00,2026-04-25 10:38:03+00:00,2,2,66333 -> 66342
-4676736349570884658,2026-04-26 12:52:39+00:00,2026-04-26 12:52:39+00:00,2,2,66333 -> 66342
2920635135136801289,2026-04-26 12:24:00+00:00,2026-04-26 12:24:01+00:00,2,2,66330 -> 66331
-7204549942089491123,2026-04-25 17:22:30+00:00,2026-04-25 17:22:30+00:00,2,2,66333 -> 66342
7524114151659474555,2026-04-25 13:59:35+00:00,2026-04-25 13:59:35+00:00,2,2,66333 -> 66342
-959196881515428556,2026-04-21 11:55:42+00:00,2026-04-21 11:55:43+00:00,2,2,66330 -> 66331
-4380610502997199742,2026-04-25 10:17:28+00:00,2026-04-25 10:17:28+00:00,2,2,66333 -> 66342
5819047445543726966,2026-04-21 18:31:20+00:00,2026-04-21 20:40:22+00:00,3,4,66330 -> 66332 -> 66330 -> 66331
-4416223891292241726,2026-04-25 14:06:51+00:00,2026-04-25 14:06:51+00:00,2,2,66330 -> 66331
-1622394612904161987,2026-04-24 19:44:22+00:00,2026-04-25 08:31:02+00:00,3,3,66333 -> 66330 -> 66331
-7290905742393731905,2026-04-24 21:32:03+00:00,2026-04-24 21:32:03+00:00,2,2,66333 -> 66342
8909696412503329319,2026-04-26 11:03:02+00:00,2026-04-26 11:05:42+00:00,2,2,66340 -> 66335
-3683393071595446499,2026-04-25 17:32:05+00:00,2026-04-25 17:32:05+00:00,2,2,66330 -> 66331
7543839017863798192,2026-04-25 19:53:31+00:00,2026-04-25 19:53:32+00:00,2,2,66330 -> 66331
